movie,year,country,watched
The Princess Bride,1987,🇺🇸 USA,12/07/2025
Annihilation,2018,🇺🇸 USA,28/06/2025
Bycicle Thieves (Ladri di biciclette),1948,🇮🇹 Italy,14/06/2025
On The Waterfront,1954,🇺🇸 USA,31/05/2025
A Friend of Mine (Ein Freund von mir),2006,🇩🇪 Germany,17/05/2025
The Seventh Seal (Det sjunde inseglet),1957,🇸🇪 Sweden,03/05/2025
Perfect Days (パーフェクト・デイズ/原題),2023,🇯🇵 Japan,19/04/2025
After the Wedding (Efter brylluppet),2006,🇩🇰 Denmark,05/04/2025
The Girl with the Needle (Pigen med nålen),2024,🇩🇰 Denmark,22/03/2025
Locke,2013,🇬🇧 UK,08/03/2025
25th Hour,2002,🇺🇸 USA,22/02/2025
Citizen Kane,1941,🇺🇸 USA,08/02/2025
Grave of the Fireflies (火垂るの墓),1994,🇯🇵 Japan,25/01/2025
